iter	Passed	Remaining
0	148	74070
1	152	37965
2	156	25978
3	161	19966
4	164	16328
5	168	13911
6	173	12195
7	177	10892
8	181	9876
9	185	9066
10	189	8436
11	193	7874
12	197	7404
13	202	7028
14	206	6683
15	210	6373
16	214	6105
17	219	5887
18	224	5687
19	228	5488
20	232	5308
21	236	5143
22	240	4990
23	244	4848
24	248	4722
25	252	4604
26	256	4492
27	260	4391
28	264	4298
29	269	4218
30	272	4129
31	276	4048
32	280	3971
33	284	3901
34	288	3832
35	293	3779
36	297	3720
37	301	3666
38	305	3610
39	310	3565
40	315	3537
41	321	3504
42	326	3465
43	330	3429
44	335	3391
45	340	3358
46	345	3326
47	350	3296
48	355	3274
49	360	3248
50	366	3227
51	371	3199
52	375	3169
53	380	3145
54	387	3133
55	392	3110
56	398	3094
57	403	3071
58	407	3049
59	413	3034
60	419	3015
61	424	2995
62	429	2979
63	434	2959
64	439	2939
65	444	2923
66	449	2904
67	454	2884
68	459	2870
69	464	2854
70	469	2838
71	474	2821
72	479	2806
73	485	2797
74	491	2783
75	496	2769
76	501	2753
77	506	2739
78	511	2723
79	516	2711
80	521	2696
81	526	2682
82	531	2672
83	537	2659
84	542	2649
85	548	2638
86	552	2624
87	558	2612
88	563	2602
89	568	2588
90	573	2577
91	578	2565
92	583	2553
93	588	2539
94	592	2526
95	597	2512
96	601	2498
97	606	2486
98	610	2471
99	614	2457
100	619	2446
101	623	2433
102	627	2420
103	632	2407
104	638	2400
105	642	2388
106	646	2376
107	651	2364
108	657	2359
109	662	2347
110	666	2335
111	671	2325
112	675	2314
113	680	2305
114	685	2296
115	691	2288
116	695	2278
117	700	2268
118	705	2258
119	709	2247
120	713	2236
121	718	2227
122	723	2219
123	729	2210
124	734	2202
125	739	2194
126	744	2186
127	750	2179
128	755	2171
129	760	2164
130	765	2156
131	770	2149
132	775	2140
133	780	2133
134	786	2125
135	791	2117
136	796	2110
137	801	2103
138	807	2097
139	813	2091
140	817	2082
141	822	2074
142	828	2068
143	834	2062
144	839	2055
145	844	2048
146	850	2042
147	857	2038
148	862	2032
149	867	2025
150	872	2017
151	878	2010
152	882	2002
153	887	1994
154	892	1985
155	896	1977
156	901	1970
157	906	1963
158	912	1957
159	920	1956
160	926	1950
161	932	1944
162	937	1938
